"LicenceDetails","TradingName","Address","PremisesUse","ApplicationType","ApplicationTypeCode","Status","Ward","URL","lat","long","RepresentationResponseDate"
"Query","Shadow Lounge","Basement And Part Ground Floor 3-7 Brewer Street London W1F 0RD","Type - Night clubs and discos","Premises Licence - Variation","LIPV","Consultees Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N0UBH6RP0R000","51.51234896","-.13363010","2014-03-04 00:00:00"
"Query","Waxy O'Connor's","Basement And Ground Floor 14 - 16 Rupert Street London W1D 6DD","Type - Public house or pub restaurant","Premises Licence - Variation - Minor","LIPVM","Consultees Outstanding","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N0MSQ2RP1GC00","51.51086927","-.13219180","2014-02-20 00:00:00"
"Not Recorded","The Palomar","Basement And Ground Floor 34 Rupert Street London W1D 6DN","Type - Restaurant","Premises Licence - Variation - Minor","LIPVM","Consultees Outstanding","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N0XTA5RP1GC00","51.51124552","-.13266640","2014-02-26 00:00:00"
"Premises Licence - New","Bo Drake Restaurant","Basement And Ground Floor 6 Greek Street London W1D 4DE","Type - Restaurant","Premises Licence - Variation","LIPV","Consultees Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MZSXQIRP1GC00","51.51468359","-.13115662","2014-03-07 00:00:00"
"Premises Licence - New","Roka Mayfair","30 North Audley Street London W1K 6ZF","Type - Restaurant","Premises Licence - Variation","LIPV","Consultees Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MZUS6URP1GC00","51.51284486","-.15359914","2014-02-19 00:00:00"
"Premises Licence - New","Nampo","Unit 41 Paddington Station Praed Street London W2 1HB","Type - Shop","Premises Licence - New","LIPN","Checks Outstanding","Hyde Park","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MZ1JT1RP0R000","51.51648083","-.17678678","2014-02-04 00:00:00"
"Query","Kai Mayfair","Basement 65 South Audley Street London W1K 2QU","Type - Restaurant","Premises Licence - Variation - Minor","LIPVM","Consultees Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N0KPXTRP1FN00","51.50875085","-.15173276","2014-02-17 00:00:00"
"Minor Variation","St Martin's Lane Hotel","Ground Floor 42 - 49 St Martin's Lane London WC2N 4ER","Type - Hotel, 4+ star or major chain","Premises Licence - Variation","LIPV","Consultees Outstanding","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N0XZN6RP1GC00","51.51045870","-.12674676","2014-03-13 00:00:00"
"Premises Licence - New","(Restaurant)","4 Brewer Street London W1F 0SB","Not Recorded","Premises Licence - New","LIPN","Consultees Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N0S4I6RP1FN00","51.51256624","-.13372211","2014-03-07 00:00:00"
"Premises Licence - New","Rapha Racing","85 Brewer Street London W1F 9ZN","Type - Shop","Premises Licence - Variation","LIPV","Consultees Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MZR3PORP0R000","51.51085110","-.13670328","2014-02-25 00:00:00"
"Premises Licence - New","(Nightclub)","1-4 Walker's Court London W1F 0BS","Type - Night clubs and discos","Premises Licence - New","LIPN","Consultees Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N0S60XRP0R000","51.51260654","-.13399428","2014-03-07 00:00:00"
"Premises Licence - Variation","Mason House","8 Argyll Street London W1F 7TF","Type - Night clubs and discos","Premises Licence - Variation - Minor","LIPVM","Consultees Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N0UBY5RP1FN00","51.51454626","-.14005472","2014-02-25 00:00:00"
"Premises Licence - New","Units 1.7 And 1.8, First Floor","Kingly Court Kingly Court London W1B 5PW","Type - Restaurant","Premises Licence - New","LIPN","Checks Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MYBB2ZRP17S00","51.51246615","-.13874150","2014-01-20 00:00:00"
