"TradingName","Address","PremisesUse","Ward","URL","lat","long","IssuedDate"
"Da Corradi Restaurant","Basement And Ground Floor 20-22 Shepherd Market London W1J 7QJ","Type - Restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J28G01RPBP000","51.50674110","-.14632389","2006-11-17 00:00:00"
"Mandalay Restaurant","Unit 12 West End Quay South Wharf Road London W2 1LA","Type - Restaurant","Hyde Park","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MOY4GTRP1GC00","51.51842171","-.17091500","2013-07-19 00:00:00"
"All Nations Tropical Food","1 Portnall Road London W9 3BA","Type - Shop","Harrow Road","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MKOXOBRP1GC00","51.52557594","-.20384244","2013-07-15 00:00:00"
"Flemings Mayfair Hotel","7-12 Half Moon Street London W1J 7BH","Type - Hotel, 4+ star or major chain","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MI7PHQRP1DX00","51.50650789","-.14522379","2013-04-08 00:00:00"
"Bank Restaurant","45 Buckingham Gate London SW1E 6BS","Type - Hotel, 4+ star or major chain","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MTXYRURP1RW00","51.49848077","-.13748155","2013-10-20 00:00:00"
"London Food & Wine","43 Oxford Street London W1D 2DY","Type - Shop","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=M5M5TIRP17S00","51.51617301","-.13207574","2012-08-01 00:00:00"
"The Arch","50 Great Cumberland Place London W1H 7FD","Type - Hotel, 4+ star or major chain","Bryanston and Dorset Square","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LU3AYXRP1IC00","51.51597300","-.15981431","2011-12-08 00:00:00"
"28/50","Basement And Ground Floor 19 Marylebone Lane London W1U 2NF","Type - Restaurant","Marylebone High Street","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MLCOXRRP0R000","51.51642046","-.15052871","2013-05-17 00:00:00"
"Verru","Ground Floor 69 Marylebone Lane London W1U 2PH","Type - Cafe","Marylebone High Street","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MVFG98RP1RW00","51.51796491","-.15095621","2013-11-20 00:00:00"
"The Cow","89 Westbourne Park Road London W2 5QH","Type - Restaurant","Bayswater","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MRF53URP1GC00","51.51916925","-.19537414","2013-09-27 00:00:00"
"Prince Alfred Public House","Prince Alfred Public House 5A Formosa Street London W9 1EE","Type - Pub or pub restaurant with lodge","Little Venice","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LMDBQLRP10L00","51.52442136","-.18491711","2012-07-02 00:00:00"
"Neeld Arms Public House","362 Harrow Road London W9 2HU","Type - Public house or pub restaurant","Harrow Road","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=M6ZZKNRP1IC00","51.52327718","-.19526941","2012-07-30 00:00:00"
"Iceland","512-516 Harrow Road London W9 3QA","Type - Hypermarket or superstore","Harrow Road","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LETE69RP0C200","51.52506554","-.20281018","2011-03-09 00:00:00"
"Kings College London Students Union","The Macadam Building Surrey Street London WC2R 2NS","Type - University land or building","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MXP7PIRP1GC00","51.51119330","-.11534601","2014-02-06 00:00:00"
"The International Institute For Strategic Studies","The International Institute For Strategic Studies Arundel House 13-15 Arundel Street London WC2R 3DA","Type - Office","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=JB8MIYRP8Q000","51.51151553","-.11357451","2007-05-06 00:00:00"
"Cavalry & Guards Club","127 Piccadilly London W1J 7PX","Type - Club or institution","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J3Q9FXRPY8000","51.50430000","-.14833938","2007-01-03 00:00:00"
"Hotel Intercontinental","Hotel Inter-Continental 1 Hamilton Place London W1J 7QY","Type - Hotel, 4+ star or major chain","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=L34PRWRP19700","51.50409234","-.15056680","2010-08-23 00:00:00"
"28/50","17-19 Maddox Street London W1S 2QH","Type - Restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MIVMOHRP0R000","51.51311690","-.14178473","2013-05-21 00:00:00"
"Dudley Arms Public House","147 Harrow Road London W2 1JP","Type - Public house or pub restaurant","Hyde Park","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LNWXDCRP10L00","51.51934896","-.17733528","2011-08-18 00:00:00"
"Craven News","43 Craven Road London W2 3BX","Type - Shop","Lancaster Gate","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J6V3F9RPOP000","51.51339009","-.17927375","2006-10-09 00:00:00"
"Nandos","Basement To First Floor 63 Westbourne Grove London W2 4UA","Type - Restaurant","Lancaster Gate","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=L93HLNRP0C200","51.51533538","-.19108659","2010-10-08 00:00:00"
"Daniel Gooch Public House","40 Porchester Road London W2 6ES","Type - Public house or pub restaurant","Bayswater","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=K19RIQRP0ZS00","51.51715419","-.18774274","2009-02-24 00:00:00"
"The Roadhouse","Basement 35 The Piazza Covent Garden London WC2E 8BE","Type - Restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MD2M8JRP1GC00","51.51220630","-.12356214","2013-02-15 00:00:00"
"Maggiore's Restaurant","Ground 33 King Street Covent Garden London WC2E 8JD","Type - Restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MUPKEURP1FN00","51.51170466","-.12480773","2013-11-08 00:00:00"
"Laduree","1 The Market Covent Garden London WC2E 8RA","Type - Restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=M7GFY4RP1DX00","51.51197104","-.12347092","2012-08-20 00:00:00"
"Perfect Chicken & Pizza","433 Harrow Road London W10 4RE","Type - Takeaway food outlet","Queen's Park","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=KAJ1B2RP10100","51.52636294","-.20767497","2009-04-22 00:00:00"
"Flora","525 Harrow Road London W10 4RG","Type - Pub or pub restaurant with lodge","Queen's Park","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J06TJQRPZ9000","51.52698086","-.21281172","2007-03-08 00:00:00"
"Preto","71-73 Shaftesbury Avenue London W1D 6LN","Type - Restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LTBHJURP1DX00","51.51230186","-.13180174","2011-11-25 00:00:00"
"Goya I","34 Lupus Street London SW1V 3EB","Type - Restaurant","Tachbrook","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J70N07RPZN000","51.48849149","-.13757176","2006-10-16 00:00:00"
"Andalucia Tapas Restaurant","Basement And Ground Floor Front 4 Panton Street London SW1Y 4DL","Type - Restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J6ATNZRPKF000","51.50928280","-.13195406","2012-07-16 00:00:00"
"Nonna's Kitchen","Ground Floor 38 Panton Street London SW1Y 4EA","Type - Restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MUIFGURP1GC00","51.50957129","-.13199990","2013-12-06 00:00:00"
"The Comedy Store","Ground Floor Right Haymarket House 1A Oxendon Street London SW1Y 4EE","Type - Theatre","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J8VOVNRPXK000","51.51016208","-.13239366","2007-03-06 00:00:00"
"La Capannina Club","Basement 21 Bateman Street London W1D 3AL","Type - Night clubs and discos","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LQUD8KRP17S00","51.51425659","-.13144793","2011-10-14 00:00:00"
"Soho Business Club","16 Carlisle Street London W1D 3BT","Type - Office","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MKZFJRRP1GC00","51.51498778","-.13388256","2013-12-03 00:00:00"
"New Evaristo Club","Ground Floor 57 Greek Street London W1D 3DX","Type - Night clubs and discos","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J2E1XXRPZ9000","51.51448034","-.13138112","2013-07-04 00:00:00"
"Circa","Ground Floor 62 Frith Street London W1D 3JN","Type - Night clubs and discos","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LJZUL8RP10L00","51.51433281","-.13228073","2012-11-09 00:00:00"
"Philglass & Swigot","First Floor To Third Floor 22 New Quebec Street London W1H 7SF","Type - Shop","Bryanston and Dorset Square","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=KHBG1LRP10200","51.51511507","-.15843645","2009-05-08 00:00:00"
"Marlborough Head Public House","Ground Floor 24 North Audley Street London W1K 6WB","Type - Public house or pub restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MVR2BURP0R000","51.51341578","-.15387871","2014-02-11 00:00:00"
"London Marriott Hotel Park Lane","139 - 140 Park Lane London W1K 7AA","Type - Hotel, 4+ star or major chain","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MMHHH8RP1GC00","51.51297299","-.15774459","2013-05-29 00:00:00"
"Three Tuns","Concession 2 13 Houghton Street London WC2A 2AE","Type - University","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LS4MWERP1J000","51.51414718","-.11617532","2011-11-04 00:00:00"
"Ye Old White Horse","2 St Clement's Lane London WC2A 2HA","Type - Public house or pub restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LHQODARP1EH00","51.51473022","-.11720338","2011-04-25 00:00:00"
"Cafe & Break Out Area, LSE","32 Lincoln's Inn Fields London WC2A 3PH","Type - Cafe","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=ML1ONORP17S00","51.51561099","-.11493307","2013-06-17 00:00:00"
"Buckingham Arms Public House","62 Petty France London SW1H 9EU","Type - Public house or pub restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MEGZ3DRP1GC00","51.49912696","-.13683568","2012-12-28 00:00:00"
"London Institute Student Union Social Club (Chelsea College)","5 Atterbury Street London SW1P 4RQ","Type - University land or building","Vincent Square","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J04M3ERPZ9000","51.49060044","-.12882847","2007-07-31 00:00:00"
"Daylesford Organic","Basement To Ground Floor 44 Pimlico Road London SW1W 8LP","Type - Cafe","Churchill","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MLR5BXRP0R000","51.49070238","-.15341349","2014-02-05 00:00:00"
"Number 11","11 Pimlico Road London SW1W 8NA","Type - Public house or pub restaurant","Churchill","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MPO8ILRP0R000","51.49084152","-.15082938","2013-07-22 00:00:00"
"Rousillon Restaurant","16 St Barnabas Street London SW1W 8QB","Type - Restaurant","Churchill","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MEVGASRP1DX00","51.49021489","-.15215116","2013-02-21 00:00:00"
"Turf Club","5 Carlton House Terrace London SW1Y 5AQ","Type - Club or institution","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LUFVXPRP17S00","51.50582335","-.13268634","2011-12-20 00:00:00"
"Jommalaysia","5-6 Pall Mall East London SW1Y 5BA","Type - Restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LYRI8XRP17S00","51.50829140","-.13012124","2012-05-11 00:00:00"
"HSBC","Rho London West Region 70 Pall Mall London SW1Y 5EZ","Type - Office","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=K8J0JCRP10T00","51.50544919","-.13686600","2011-11-07 00:00:00"
"The Vintage House","Basement And Ground Floor 42 Old Compton Street London W1D 4TX","Type - Shop","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=K8F3V3RP10200","51.51317380","-.13178048","2009-01-13 00:00:00"
"Golden Day Restaurant","118-120 Shaftesbury Avenue London W1D 5EP","Type - Restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=L8VY8NRP1EH00","51.51239964","-.13060156","2010-10-08 00:00:00"
"Nambu-tei Japanese Restaurant","Berkeley Arcade 209A Baker Street London NW1 6AB","Type - Restaurant","Bryanston and Dorset Square","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J8Q73ZRPRP000","51.52254918","-.15826630","2007-03-06 00:00:00"
"Sofitel St. James London Hotel","6 Waterloo Place London SW1Y 4AN","Type - Hotel, 4+ star or major chain","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=KN36SNRP13L00","51.50749675","-.13217121","2009-09-08 00:00:00"
"The Harold Pinter Theatre","Comedy Theatre Panton Street London SW1Y 4DN","Type - Theatre","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MWNW74RP1GC00","51.50933282","-.13170703","2013-12-23 00:00:00"
"Mint Leaf","9 Suffolk Place London SW1Y 4HX","Type - Office","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=JCMQ3ORP4Q000","51.50815102","-.13090515","2007-07-03 00:00:00"
"Soho Hotel","4 Richmond Mews London W1D 3BD","Type - Hotel, 4+ star or major chain","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J4RGCORPX9000","51.51394120","-.13366591","2013-05-16 00:00:00"
"Kaslik","Ground Floor 58 Greek Street London W1D 3DY","Type - Restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J9I0C9RPQC000","51.51452619","-.13143690","2006-11-30 00:00:00"
"Leonis Quo Vadis","26 Dean Street London W1D 3LL","Type - Restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=K08EMGRP10200","51.51408645","-.13262229","2010-05-14 00:00:00"
"Banca","30 North Audley Street London W1K 6ZF","Type - Restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MPD5V3RP17S00","51.51284486","-.15359914","2013-09-04 00:00:00"
"North Audley Canteen","41 North Audley Street London W1K 6ZP","Type - Restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MPGJ0MRP0R000","51.51247322","-.15341240","2014-01-31 00:00:00"
"Ordnance","Ordnance Arms 29-29A Ordnance Hill London NW8 6PS","Type - Pub or pub restaurant with lodge","Abbey Road","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=L95AWERP1EH00","51.53579529","-.17150194","2010-11-02 00:00:00"
"London Transport","London Transport 55 Broadway London SW1H 0WD","Type - Office","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MRXBZRRP1GC00","51.49961969","-.13389082","2013-09-26 00:00:00"
"Pizza Express","Ground Floor 25 Millbank London SW1P 4QP","Type - Restaurant","Vincent Square","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MH3095RP1DX00","51.49301336","-.12563245","2013-02-20 00:00:00"
"Tiger Tiger","Haymarket House 28-29 Haymarket London SW1Y 4SP","Type - Night clubs and discos","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MT0K3PRP1GC00","51.50964291","-.13254458","2013-10-02 00:00:00"
"Two Chairmen Public House","1 Warwick House Street London SW1Y 5AT","Type - Public house or pub restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LBQ7RJRP1EH00","51.50737591","-.13023077","2010-11-16 00:00:00"
"Little Italy Two","Ground Floor 21A Frith Street London W1D 4RF","Type - Restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J21448RPBP000","51.51348906","-.13124874","2006-11-14 00:00:00"
"Gerry's Wine & Spirits","74-76 Old Compton Street London W1D 4UW","Type - Shop","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J15G1DRPBP000","51.51267298","-.13308362","2007-11-15 00:00:00"
"Kettners","29 Romilly Street London W1D 5HP","Type - Restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LNG551RP10000","51.51311211","-.13073092","2011-08-08 00:00:00"
"Sophisticats","77 Welbeck Street London W1G 9BN","Type - Restaurant","Marylebone High Street","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LBZ74CRP0FF00","51.51568346","-.14884344","2012-03-06 00:00:00"
"Coach & Horses Public House","5 Hill Street London W1J 5LD","Type - Public house or pub restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=JDGFLFRP4Q000","51.50913988","-.14732175","2007-03-23 00:00:00"
"Duke Of York","8 Dering Street London W1S 1AF","Type - Public house or pub restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MOJL4LRP17S00","51.51419872","-.14593470","2013-07-02 00:00:00"
"Tesco Express","112 - 114 Marylebone High Street London W1U 4SA","Type - Shop","Marylebone High Street","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MG1SBBRP1DX00","51.51867301","-.15195091","2013-02-21 00:00:00"
"Al-Kanater Restaurant","355 Edgware Road London W2 1BS","Type - Restaurant","Little Venice","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MQHY02RP0R000","51.52225276","-.17381745","2013-09-05 00:00:00"
"Sarchnar Kebab Restaurant","397 Edgware Road London W2 1BT","Type - Shop","Little Venice","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=JCSJESRPZN000","51.52311703","-.17503699","2007-02-20 00:00:00"
"Islamic Halal Kebab Restaurant","Ground Floor 228 Edgware Road London W2 1DW","Type - Restaurant","Bryanston and Dorset Square","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J96ZZGRP3Q000","51.51889889","-.16807079","2007-02-28 00:00:00"
"Kensington Gardens","Kensington Gardens Serpentine Road London W2 2UH","Type - Park / Open Space","Knightsbridge and Belgravia","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J28FLDRPZC000","51.50937596","-.17326598","2006-07-11 00:00:00"
"Sainsbury's","Units 3 And Unit 4 Moreau House 112 - 120 Brompton Road London SW3 1JJ","Type - Shop","Knightsbridge and Belgravia","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=M4ZSTRRP17S00","51.49931869","-.16496594","2012-09-17 00:00:00"
"Soho Bar","Basement And Ground Floor 21 Berwick Street London W1F 0PZ","Type - Cafe","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MLG4GRRP17S00","51.51380029","-.13498318","2013-07-10 00:00:00"
"Co-op","104-105 Berwick Street London W1F 0QS","Type - Shop","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MUVB9ERP1FN00","51.51283024","-.13448956","2013-12-13 00:00:00"
"L'artiste Muscle","1 Shepherd Market London W1J 7PA","Type - Wine bar","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J2CL7CRPZ8000","51.50638459","-.14652569","2007-02-28 00:00:00"
"The Market Brasserie","18 Shepherd Market London W1J 7QH","Type - Restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J2JK7MRPBP000","51.50670538","-.14633975","2007-04-18 00:00:00"
"Grand Union","Unit 1 West End Quay South Wharf Road London W2 1LA","Type - Restaurant","Hyde Park","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MVFGQVRP0R000","51.51842149","-.17090060","2014-01-31 00:00:00"
"Khan's Restaurant","Ground Floor Bourne House 13 - 15 Westbourne Grove London W2 4UA","Type - Restaurant","Lancaster Gate","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J6JXODRP7R000","51.51551950","-.18903270","2007-03-29 00:00:00"
"Banana Tree Canteen","21 - 23 Westbourne Grove London W2 4UA","Type - Restaurant","Lancaster Gate","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MEII28RP17S00","51.51553338","-.18934922","2013-01-10 00:00:00"
"Union Jacks","5 The Market Covent Garden London WC2E 8RA","Type - Restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MSI9HBRP0R000","51.51217957","-.12301559","2014-01-23 00:00:00"
"Dolphin Square Brasserie & Club/Bar Lounge","Dolphin Square Hotel Dolphin Square London SW1V 3LX","Type - Hotel, 4+ star or major chain","Tachbrook","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=L05H0GRP10000","51.48700097","-.13658102","2010-09-09 00:00:00"
"Little Wu","64 Shaftesbury Avenue London W1D 6LU","Type - Restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=KLHI5DRP10N00","51.51175157","-.13225660","2009-07-14 00:00:00"
"The Windmill Public House","6-8 Mill Street London W1S 2AZ","Type - Public house or pub restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MIMN95RP17S00","51.51239673","-.14230404","2013-04-18 00:00:00"
"Downtown Mayfair","15 New Burlington Place London W1S 2HX","Type - Park / Open Space","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MJPLYARP1GC00","51.51237711","-.14106542","2013-06-17 00:00:00"
"Portland Food & Wine","15 London Street London W2 1HL","Type - Shop","Hyde Park","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MMIXSLRP0R000","51.51524592","-.17428505","2013-08-28 00:00:00"
"Sawyers Arms Public House","8-9 London Street London W2 1HL","Type - Pub or pub restaurant with lodge","Hyde Park","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=L1Y99JRP13L00","51.51543014","-.17456594","2010-05-24 00:00:00"
"Smiths Bar And Grill","25 Sheldon Square London W2 6EY","Revised Type - Restaurant","Hyde Park","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MK0LQ6RP1GC00","51.51915046","-.17902962","2013-07-10 00:00:00"
"St James' Tavern Public House","45 Great Windmill Street London W1D 7NE","Type - Public house or pub restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=L058T9RP1CU00","51.51093754","-.13422100","2010-04-27 00:00:00"
"Pasta Brown","31 Bedford Street London WC2E 9EH","Type - Cafe","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J4CPADRP3P000","51.51105440","-.12463267","2006-11-28 00:00:00"
"The Real Greek Souvlaki And Bar","61-62 Long Acre London WC2E 9JE","Type - Public house or pub restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LO7VJ5RP10000","51.51370177","-.12316920","2013-08-21 00:00:00"
"Regency Off Licence","9 Regency Place London SW1P 2EB","Type - Shop","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LVS4PYRP1JX00","51.49462576","-.13256771","2013-04-29 00:00:00"
"Oliveto Restaurant","49 Elizabeth Street London SW1W 9PP","Type - Restaurant","Knightsbridge and Belgravia","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=JCN180RPTQ000","51.49341423","-.15088374","2007-02-15 00:00:00"
"Leon","275 Regent Street London W1B 2HB","Type - Restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=M4L665RP1DX00","51.51612498","-.14264239","2013-10-31 00:00:00"
"Cookhouse Joe","55 Berwick Street London W1F 8SJ","Type - Restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MPDDYCRP1GC00","51.51566682","-.13643470","2013-09-05 00:00:00"
"Imli Ltd","167-169 Wardour Street London W1F 8WL","Type - Restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MKDL8HRP0R000","51.51468350","-.13510565","2013-04-22 00:00:00"
"Cafe Gourmand","53 Lexington Street London W1F 9AS","Type - Cafe","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=M867P1RP1IC00","51.51320584","-.13662161","2013-01-11 00:00:00"
"Hakkasan","17 Bruton Street London W1J 6QB","Type - Restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LBOC99RP1EH00","51.51039140","-.14457610","2010-12-14 00:00:00"
