"TradingName","Address","PremisesUse","Ward","URL","lat","long","IssuedDate"
"Topkapi Restaurant","Basement And Ground Floor 25 Marylebone High Street London W1U 4PQ","Type - Shop","Marylebone High Street","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J79XW1RPVP000","51.51974597","-.15156154","2006-11-02 00:00:00"
"Novotel London Paddington","Novotel London Paddington 3 Kingdom Street London W2 6BD","Type - Hotel, 4+ star or major chain","Hyde Park","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MVSS6URP1RW00","51.51916109","-.18319480","2013-11-18 00:00:00"
"La Ballerina","7-8 Bow Street London WC2E 7AH","Type - Restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=IZGS7NRPRL000","51.51349738","-.12275965","2007-07-01 00:00:00"
"Proximity London","Westcourt House 191 Old Marylebone Road London NW1 5DZ","Type - Office","Bryanston and Dorset Square","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=IZV5GWRPBP000","51.52035489","-.16514393","2006-11-16 00:00:00"
"Wellington Barracks","Wellington Barracks Birdcage Walk London SW1E 6HQ","Type - Barracks","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J57UDNRPX9000","51.49999465","-.13767918","2007-06-20 00:00:00"
"Cafe Paninni","20 Buckingham Palace Road London SW1W 0QP","Type - Shop","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J55YO7RPX9000","51.49770109","-.14445757","2007-03-18 00:00:00"
"Apollo Piccadilly Circus","The Plaza Cinema 19 Regent Street London SW1Y 4LR","Type - Cinema","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MQ537YRP17S00","51.50895469","-.13450376","2013-08-21 00:00:00"
"Japan Centre","Ground Right Dorland House 18-20 Regent Street London SW1Y 4PH","Type - Restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=KQQMDFRP0FF00","51.50913081","-.13370397","2009-10-12 00:00:00"
"Bistro 1","27 Frith Street London W1D 5LE","Type - Restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J0WBWRRPTB000","51.51299919","-.13098055","2006-12-18 00:00:00"
"Feng Shui Inn","4-5 Gerrard Street London W1D 5PF","Type - Restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=JA5W25RP0Q000","51.51218905","-.13036518","2007-04-29 00:00:00"
"Fora Restaurant","11 Circus Road London NW8 6NX","Type - Restaurant","Regent's Park","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LLANKMRP17S00","51.53363328","-.17183369","2012-10-17 00:00:00"
"Strada","39 Panton Street London SW1Y 4EA","Type - Restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MPBEITRP0R000","51.50955493","-.13210145","2013-07-22 00:00:00"
"Royal Academy School","Ground Left Burlington House Piccadilly London W1J 0BD","Type - University land or building","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J4750ZRPX9000","51.50910779","-.13961331","2007-06-11 00:00:00"
"Court Yard Cafe At Royal Academy School","Ground Left Burlington House Piccadilly London W1J 0BD","Type - HQs and Institutional Offices","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=M31FYLRP1DX00","51.50910779","-.13961331","2012-05-30 00:00:00"
"Westland Hotel","154 Bayswater Road London W2 4HP","Type - Hotel, 3 star or under","Lancaster Gate","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J6CVXCRPKR000","51.51030700","-.19098313","2006-10-19 00:00:00"
