"EventDate","StreetName","lat","long","X","Y","Vomit","HumanFouling","blood","Urine"
"2013-06-20 00:00:00","MARTLETT COURT","51.5131786","-0.1218844","530423","181032","NO","NO","NO","Yes"
"2013-09-24 00:00:00","MARTLETT COURT","51.5131786","-0.1218844","530423","181032","NO","NO","NO","Yes"
"2012-09-21 00:00:00","MARTLETT COURT","51.5131786","-0.1218844","530423","181032","NO","Yes","NO","NO"
"2012-09-22 00:00:00","MARTLETT COURT","51.5131786","-0.1218844","530423","181032","NO","NO","NO","Yes"
"2013-07-09 00:00:00","MARTLETT COURT","51.5131786","-0.1218844","530423","181032","NO","Yes","NO","NO"
"2012-09-14 00:00:00","MARTLETT COURT","51.5131786","-0.1218844","530423","181032","NO","NO","NO","Yes"
"2013-04-23 00:00:00","MARTLETT COURT","51.5131786","-0.1218844","530423","181032","NO","NO","NO","Yes"
"2012-10-09 00:00:00","ANGEL COURT","51.5056123","-0.1368938","529403","180164","NO","NO","NO","Yes"
"2013-11-17 00:00:00","ANGEL COURT","51.5056123","-0.1368938","529403","180164","NO","Yes","NO","NO"
"2012-10-28 00:00:00","ANGEL COURT","51.5056123","-0.1368938","529403","180164","Yes","NO","NO","NO"
"2012-10-29 00:00:00","ANGEL COURT","51.5056123","-0.1368938","529403","180164","NO","NO","NO","Yes"
"2012-10-16 00:00:00","ANGEL COURT","51.5056123","-0.1368938","529403","180164","NO","NO","NO","Yes"
"2012-08-22 00:00:00","ANGEL COURT","51.5056123","-0.1368938","529403","180164","Yes","Yes","NO","NO"
"2012-09-04 00:00:00","ANGEL COURT","51.5056123","-0.1368938","529403","180164","NO","NO","NO","Yes"
"2013-11-14 00:00:00","ROMNEY STREET","51.4952468","-0.1269295","530124","179029","NO","Yes","NO","NO"
"2013-09-08 00:00:00","ROMNEY STREET","51.4952468","-0.1269295","530124","179029","NO","Yes","NO","NO"
"2012-09-18 00:00:00","STRAND","51.5124507","-0.1157460","530851","180962","Yes","NO","NO","NO"
"2012-10-10 00:00:00","STRAND","51.5124906","-0.1159893","530834","180966","NO","NO","Yes","NO"
"2013-07-03 00:00:00","STRAND","51.5124906","-0.1159893","530834","180966","NO","Yes","NO","Yes"
"2013-07-01 00:00:00","STRAND","51.5124906","-0.1159893","530834","180966","NO","Yes","NO","Yes"
"2013-11-08 00:00:00","STRAND","51.5124906","-0.1159893","530834","180966","Yes","NO","NO","NO"
